aisle_key,section,is_inventory,svg_x,svg_y,svg_width,svg_height,sort_order
aisle-13,1,t,1470.3015,2612.8076,82.2,21.300001,0
aisle-13,3,t,1555.4015,2612.7075,81.6,21.300001,0
aisle-13,5,t,1640.0015,2612.7075,82.1,21.300058,0
aisle-13,7,t,1724.9015,2612.7075,81.8999,21.300058,0
aisle-13,9,t,1809.9015,2612.9075,81.7999,21.300058,0
aisle-13,11,t,1894.7014,2612.9075,81.7999,21.300058,0
aisle-13,13,t,1979.5015,2612.8076,82.0997,21.300058,0
aisle-13,15,t,2064.7014,2612.8076,81.4995,21.300058,0
aisle-13,2,t,1470.3671,2712.3984,82.09998,21.191853,0
aisle-13,14,t,1980.0488,2712.2903,82.0997,21.300058,0
aisle-13,4,t,1555.3489,2712.19,81.71812,21.300001,0
aisle-13,10,t,1810.267,2712.39,81.98178,21.300058,0
aisle-13,16,t,2065.2488,2712.2903,81.4995,21.300058,0
aisle-13,6,t,1640.4489,2712.39,81.71812,21.300058,0
aisle-13,8,t,1725.4489,2712.29,81.8999,21.300058,0
aisle-13,12,t,1895.1488,2712.39,81.7999,21.300058,0
aisle-13,19,t,2233.61,2613.2454,104.35228,21.300058,0
aisle-13,21,t,2341.0662,2613.2075,106.01863,21.300058,0
aisle-13,23,t,2450.1848,2613.1074,106.01863,21.300058,0
aisle-13,25,t,2559.3032,2613.2075,106.01863,21.300058,0
aisle-13,27,t,2668.1218,2613.1074,106.01863,21.300058,0
aisle-13,29,t,2777.0403,2613.0073,106.01863,21.300058,0
aisle-13,31,t,2886.0586,2613.3074,104.15479,21.300058,0
aisle-13,20,t,2233.3965,2712.912,104.51742,21.300058,0
aisle-13,30,t,2776.827,2712.674,106.01863,21.300058,0
aisle-13,22,t,2340.8528,2712.874,106.361115,21.300058,0
aisle-13,28,t,2667.9082,2712.774,106.20571,21.300058,0
aisle-13,32,t,2885.845,2712.974,104.46892,21.300058,0
aisle-13,26,t,2559.0896,2712.874,106.01863,21.300058,0
aisle-13,24,t,2449.9712,2712.774,106.44272,21.300058,0
aisle-13,37,t,3202.5703,2613.1567,87.79897,21.198854,0
aisle-13,39,t,3293.4695,2613.244,87.79897,21.011726,0
aisle-13,41,t,3384.2693,2613.244,87.58783,21.011726,0
aisle-13,43,t,3474.957,2613.3015,87.59436,21.011726,0
aisle-13,45,t,3565.5662,2613.244,87.79093,21.011726,0
aisle-13,42,t,3384.2178,2713.14,87.65008,21.011726,0
aisle-13,38,t,3202.6704,2713.1272,87.79897,21.124037,0
aisle-13,40,t,3293.322,2713.14,87.79897,21.011726,0
