taskRef,title,createdAt,updatedAt,dependsOn
#1,"Parts ID mobile app",2026-05-01T01:29:08.749000+00:00,2026-05-01T04:13:11.790000+00:00,""
#2,"Add barcode/QR scanning for instant part lookup",2026-05-01T02:41:47.928000+00:00,2026-05-03T05:02:26.953000+00:00,"#1"
#4,"Make the app work offline by caching the last search results",2026-05-01T02:41:47.928000+00:00,2026-05-01T18:47:05.663000+00:00,"#1"
#5,"Collapse Filter Dimensions by default",2026-05-01T03:03:55.247000+00:00,2026-05-01T14:07:11.127000+00:00,"#1"
#6,"Import spreadsheet as inventory database",2026-05-01T03:22:03.733000+00:00,2026-05-01T20:09:31.637000+00:00,"#1"
#7,"Keyword search includes catalog numbers",2026-05-01T03:24:53.595000+00:00,2026-05-01T20:15:50.271000+00:00,"#1"
#8,"Auto-resize photos to fit size requirements",2026-05-01T03:34:24.767000+00:00,2026-05-01T20:15:56.217000+00:00,"#1"
#9,"Remember whether Filter Dimensions was left open or closed",2026-05-01T04:14:45.336000+00:00,2026-05-01T20:28:00.451000+00:00,"#5"
#10,"Collapse other filter sections to reduce visual clutter",2026-05-01T04:14:45.336000+00:00,2026-05-01T20:32:12.338000+00:00,"#5"
#12,"Let users manually clear the offline cache from settings",2026-05-01T14:09:51.145000+00:00,2026-05-01T20:37:36.644000+00:00,"#4"
#13,"Enrich all 7,397 imported parts with AI search keywords",2026-05-01T18:50:06.089000+00:00,2026-05-02T02:12:02.304000+00:00,"#6"
#14,"Let admins update inventory by uploading a new spreadsheet in the app",2026-05-01T18:50:06.089000+00:00,2026-05-02T02:02:52.882000+00:00,"#6"
#15,"Show a loading indicator while a photo is being processed",2026-05-01T20:11:29.515000+00:00,2026-05-02T01:53:06.481000+00:00,"#8"
#16,"Verify photo resize works correctly with real images",2026-05-01T20:11:29.515000+00:00,2026-05-02T01:51:10.695000+00:00,"#8"
#19,"Move dimension filters into the top-bar Filters dropdown",2026-05-01T20:18:36.590000+00:00,2026-05-01T20:45:07.126000+00:00,""
#20,"Change Log Off icon to Feather log-out",2026-05-01T20:18:43.678000+00:00,2026-05-01T20:48:12.717000+00:00,""
#21,"Remember each worker's expanded/collapsed state for all filter sections",2026-05-01T20:25:02.601000+00:00,2026-05-02T01:57:29.637000+00:00,"#9"
#23,"Show workers how old their cached search results are",2026-05-01T20:34:52.292000+00:00,2026-05-02T02:00:47.217000+00:00,"#12"
#24,"Let workers reset chip filters without losing their text search terms",2026-05-01T20:39:38.107000+00:00,2026-05-02T02:04:44.024000+00:00,"#19"
#25,"Add a visible label to the top-bar settings button so workers know what it opens",2026-05-01T20:46:08.261000+00:00,2026-05-01T20:50:15.379000+00:00,"#20"
#26,"Add real app settings to the Settings menu (font size, default filters)",2026-05-01T20:49:32.395000+00:00,2026-05-01T20:57:45.791000+00:00,"#25"
#27,"Make the header buttons consistent in size and spacing",2026-05-01T20:49:32.395000+00:00,2026-05-01T21:02:00.795000+00:00,"#25"
#28,"Apply text size preference to the Photo ID results tab too",2026-05-01T20:54:58.271000+00:00,2026-05-01T21:02:00.488000+00:00,"#26"
#29,"Let workers set a default minimum confidence threshold in Settings",2026-05-01T20:54:58.271000+00:00,2026-05-01T21:13:23.684000+00:00,"#26"
#30,"Keep text size in sync across tabs instantly when changed in Settings",2026-05-01T20:59:14.354000+00:00,2026-05-02T02:09:51.007000+00:00,"#28"
#31,"Use a shared button style for smaller action buttons throughout the search results area",2026-05-01T20:59:35.977000+00:00,2026-05-02T01:42:44.936000+00:00,"#27"
#33,"Rename ""Filter Dimensions"" to ""Advanced Filters""",2026-05-02T00:57:59.252000+00:00,2026-05-02T01:00:57.792000+00:00,""
#34,"Remove Filters wrapper, show Advanced Filters directly",2026-05-02T01:18:44.696000+00:00,2026-05-02T01:22:14.667000+00:00,""
#35,"Allow multiple photo selection from library in Photo ID tab",2026-05-02T01:21:02.790000+00:00,2026-05-02T01:24:26.060000+00:00,""
#37,"Show a photo counter so workers know how many slots they have left",2026-05-02T01:23:06.826000+00:00,2026-05-02T01:29:14.881000+00:00,"#35"
#39,"Match parts across metric and imperial measurement units",2026-05-02T01:40:01.021000+00:00,2026-05-02T03:23:26.967000+00:00,""
#40,"Extend the shared button style to other bordered buttons in the app",2026-05-02T01:41:39.262000+00:00,2026-05-02T02:12:14.134000+00:00,"#31"
