vendor,catalog,description,bin_locations,ai_keywords
A-T,JCDG8,130V 20W HALOGEN /HIKARI,{23-01-816},"{""JCDG8 Halogen Bulb"",""Halogen Light Bulb"",""20W Halogen"",""130V Halogen"",""Hikari Halogen Lamp"",""JCDG8 Light Fixture"",""Halogen Lighting"",""NEMA type LAMP"",""Halogen 20 Watt"",""Halogen 130 Volt""}"
A-T,MP100UMED,100W E17 METAL HALIDE,{22-56-603},"{""100W E17 Metal Halide"",""Metal Halide Lamp"",""E17 Base Light Bulb"",""100 Watt MH Lamp"",""MH100 E17"",""Metal Halide"",""100W Lamp"",""High-Intensity Discharge"",""HID Lighting"",""NEMA Ratings""}"
ABB,ESB23015,15A 3P 240V E FRAME BKR,{23-11-908},"{""15A 3P 240V E FRAME BREAKER"",""E FRAME CIRCUIT BREAKER"",""ABB ESB23015"",""15 AMP 3 POLE BREAKER"",""240 VOLT E FRAME"",""15A E FRAME"",""NEMA type E"",""15A circuit breaker"",""3 phase breaker"",""ABB breaker""}"
ABB,ESB23060L,60A 3P 240V E FRAME BKR,{23-00-718},"{""60A 3P 240V E FRAME BREAKER"",""Circuit Breaker"",""60 Amp Breaker"",""Three Phase Circuit Breaker"",""ABB E Frame Breaker"",""Electrical Protection Device"",E-frame,""240 Volt Breaker"",""NEMA type"",""High Amperage Breaker""}"
ABB,KT3LD,T1-T3 OPEN/CLDS PDLK DEV,{23-01-703},"{""T1-T3 Open/Close PDLK Device"",""ABB KT3LD"",""positional device"",""open close device"",""T1-T3 switch"",""control device"",""mechanical lock"",""NEMA rated"",""industrial grade"",""high durability""}"
ABB,SEKZ273,SHAFT SUPPORT,{23-02-812},"{""Shaft Support"",""Mounting Hardware"",""Support Bracket"",""Shaft Mount"",""ABB SEKZ273"",""Support Assembly"",Steel,""NEMA rated"",""Mechanical Support"",""Shaft Bearing Support""}"
ACQ,1000P,1000P 1 GALLON POLY SPRAYER,{22-54-809},"{""1000P 1 GALLON POLY SPRAYER"",""poly sprayer"",""1 gallon sprayer"",""polyethylene sprayer"",""spray applicator"",""ACQ sprayer"",""chemical resistant sprayer"",""1G poly sprayer"",""garden sprayer"",""heavy-duty sprayer""}"
ACQ,ACT2,CORK TAPE CORK/RUBBER INSULATION TAPE 2X30,{22-54-811},"{""CORK TAPE"",""Insulation Tape"",""Cork Rubber Insulation Tape"",""Cork Tape 2x30"",""Electrical Insulation"",""Rubberized Insulation Material"",""ACQ ACT2"",""2 inch x 30 feet"",""High Quality Insulation"",""NEMA Insulation Standard""}"
ACQ,AEG32,EVAPGARD COIL/DRAIN PAN DISINFECTANT EPA REG 32OZ,{22-54-804},"{""Evapgard Coil/Drain Pan Disinfectant"",Disinfectant,""EPA Registered"",32oz,""coil cleaner"",""drain pan cleaner"",""biodegradable disinfectant"",""mold and mildew remover"",N/A}"
ACQ,AIF2,FOAM TAPE FOAM INSULATION TAPE 2X30,{22-54-706},"{""FOAM TAPE"",""FOAM INSULATION TAPE"",AIF2,""insulation tape"",""foam adhesive tape"",""2x30 foam tape"",""weatherproof tape"",""acoustic tape"",""ACQ foam tape"",N/A}"
